#240Pu,,,,
#Eg,E1,M1,dE1,dM1
6.532,,1.82E-08,,6.7E-09
6.491,,2.94E-08,,1.33E-08
5.934,2.109E-07,,1.67E-08,
5.671,,2.68E-08,,0.00000002
5.632,,6.58E-08,,1.22E-08
5.595,1.976E-07,,1.44E-08,
5.573,2.475E-07,,1.55E-08,
5.444,,3.12E-08,,2.55E-08
5.404,,2.17E-08,,6.7E-09
5.399,,3.29E-08,,1.44E-08
5.351,,3.03E-08,,1.55E-08
5.308,,3.55E-08,,3.55E-08
5.292,1.443E-07,,1.55E-08,
5.123,1.432E-07,,4.44E-08,
5.119,,4.16E-08,,2.78E-08
5.094,2.276E-07,,0.00000002,
5.044,1.798E-07,,2.11E-08,
4.992,1.576E-07,,2.22E-08,
4.975,,3.81E-08,,2.22E-08
4.925,1.754E-07,,2.33E-08,
4.903,1.721E-07,,5.11E-08,
4.899,1.487E-07,,5.33E-08,
4.822,,3.99E-08,,2.89E-08
4.757,1.343E-07,,2.89E-08,
4.738,1.798E-07,,2.66E-08,
4.616,1.976E-07,,2.89E-08,
4.405,1.432E-07,,4.22E-08,
